"id","log2(fc)","PValue","FDR","Symbol","transcDNA_MAX_MAX_gene_id","transcDNA_MAX_MAX_tx_len","transcDNA_MAX_MAX_symbol","transcDNA_mean_MEAN_gene_id","transcDNA_mean_MEAN_avg_len","transcDNA_mean_MEAN_symbol","transcDNA_median_MEDIAN_gene_id","transcDNA_median_MEDIAN_median_len","transcDNA_median_MEDIAN_symbol"
"ENSG00000107984",-1.26176173216678,"7.27812989689004e-21",8.35731750213088e-19,"DKK1","22943",1805,"DKK1","22943",840.25,"DKK1","22943",545.5,"DKK1"
"ENSG00000138660",-1.68614540863983,"9.62750977654028e-21",1.09823284220679e-18,"AP1AR","55435",5915,"AP1AR","55435",1761,"AP1AR","55435",795.5,"AP1AR"
"ENSG00000132470",-1.17333173407136,"1.2499753169592e-20",1.40735857277634e-18,"ITGB4","3691",5896,"ITGB4","3691",2557.38461538462,"ITGB4","3691",950,"ITGB4"
"ENSG00000141449",1.16429334727839,"1.28234712333299e-20",1.43449140461101e-18,"GREB1L","80000",9344,"GREB1L","80000",3681.36363636364,"GREB1L","80000",2882,"GREB1L"
"ENSG00000168386",-1.61330880179719,"1.71867858873539e-20",1.91026718269763e-18,"FILIP1L","11259",5635,"FILIP1L","11259",2779.2,"FILIP1L","11259",2876,"FILIP1L"
"ENSG00000109670",1.17739380134753,"2.47833261717632e-20",2.73705791396307e-18,"FBXW7","55294",5653,"FBXW7","55294",2139.14285714286,"FBXW7","55294",1735,"FBXW7"
"ENSG00000066855",1.03117502318343,"2.90005525862399e-20",3.18253532463806e-18,"MTFR1","9650",2651,"MTFR1","9650",1039.13333333333,"MTFR1","9650",576,"MTFR1"
"ENSG00000123843",3.3383666717593,"3.12592166763202e-20",3.38752223719198e-18,"C4BPB","725",1992,"C4BPB","725",1011.125,"C4BPB","725",954.5,"C4BPB"
"ENSG00000075223",-1.36402709389575,"3.45051845496401e-20",3.71605835345471e-18,"SEMA3C","10512",4874,"SEMA3C","10512",1318.11111111111,"SEMA3C","10512",582,"SEMA3C"
"ENSG00000179195",-1.35754521449676,"3.85206023186088e-20",4.12289335557011e-18,"ZNF664","144348",5108,"ZNF664","144348",1844.41666666667,"ZNF664","144348",591.5,"ZNF664"
"ENSG00000203668",-1.37524812126391,"4.12185297031021e-20",4.38458948786557e-18,"CHML","1122",7711,"CHML","1122",2082.4,"CHML","1122",705,"CHML"
"ENSG00000147100",-1.36851941394717,"5.5110098167141e-20",5.82047914058894e-18,"SLC16A2","6567",4128,"SLC16A2","6567",3302.33333333333,"SLC16A2","6567",3893,"SLC16A2"
"ENSG00000047634",1.06498958806265,"5.53883763883255e-20",5.82047914058894e-18,"SCML1","6322",4615,"SCML1","6322",2482.57142857143,"SCML1","6322",2704,"SCML1"
"ENSG00000148346",-1.79399123713289,"6.60677972217949e-20",6.8595780600521e-18,"LCN2","3934",877,"LCN2","3934",673.285714285714,"LCN2","3934",631,"LCN2"
"ENSG00000198837",1.09533020413739,"1.26184171645375e-19",1.30232580485665e-17,"DENND4B","9909",5728,"DENND4B","9909",1397.46153846154,"DENND4B","9909",551,"DENND4B"
"ENSG00000164211",-2.25075938636608,"1.34923255522419e-19",1.38428066716167e-17,"STARD4","134429",4631,"STARD4","134429",1416.41666666667,"STARD4","134429",909.5,"STARD4"
"ENSG00000197822",-1.65157139201746,"1.37392039899182e-19",1.40131798812466e-17,"OCLN","100506658",6438,"OCLN","100506658",3004.65,"OCLN","100506658",3043,"OCLN"
"ENSG00000186767",-1.32861629094134,"1.70277713941877e-19",1.72657618832644e-17,"SPIN4","139886",4105,"SPIN4","139886",4105,"SPIN4","139886",4105,"SPIN4"
"ENSG00000165895",-1.14199265191955,"1.89212115182969e-19",1.90741213090552e-17,"ARHGAP42","143872",8156,"ARHGAP42","143872",2532,"ARHGAP42","143872",595.5,"ARHGAP42"
"ENSG00000144228",-1.39906480880762,"2.06318223164352e-19",2.06783333609636e-17,"SPOPL","339745",6056,"SPOPL","339745",2135.75,"SPOPL","339745",972,"SPOPL"
"ENSG00000006062",1.21873572946782,"2.49607403921212e-19",2.48732343482178e-17,"MAP3K14","9020",4583,"MAP3K14","9020",3656,"MAP3K14","9020",3336,"MAP3K14"
"ENSG00000106012",-1.19523002480005,"2.87638660700463e-19",2.84992385022018e-17,"IQCE","23288",6857,"IQCE","23288",2041.4375,"IQCE","23288",1534.5,"IQCE"
"ENSG00000069482",-1.68426758831646,"3.33499236377339e-19",3.28553594292425e-17,"GAL","51083",749,"GAL","51083",749,"GAL","51083",749,"GAL"
"ENSG00000052795",1.22960236616816,"4.80640312682101e-19",4.7083742268898e-17,"FNIP2","57600",7038,"FNIP2","57600",2432.66666666667,"FNIP2","57600",1448.5,"FNIP2"
"ENSG00000105176",-1.23919825498945,"5.03736845872524e-19",4.90690627560881e-17,"URI1","8725",3460,"URI1","8725",1016.69230769231,"URI1","8725",578,"URI1"
"ENSG00000151893",-1.53438573285926,"5.07031112032453e-19",4.91140360420709e-17,"CACUL1","143384",11035,"CACUL1","143384",2441.42857142857,"CACUL1","143384",517,"CACUL1"
"ENSG00000111412",-1.24273697620091,"5.51876816165914e-19",5.31610673083377e-17,"SPRING1","79794",8426,"SPRING1","79794",2803,"SPRING1","79794",1147,"SPRING1"
"ENSG00000066468",1.02480046005992,"6.96919090811496e-19",6.63949456900029e-17,"FGFR2","2263",6964,"FGFR2","2263",2943.9756097561,"FGFR2","2263",3244,"FGFR2"
"ENSG00000182670",-1.27409328797333,"7.24470586272926e-19",6.86425983354441e-17,"TTC3","7267",10363,"TTC3","7267",4261.69230769231,"TTC3","7267",3148.5,"TTC3"
"ENSG00000155393",-1.76031276202382,"1.08144608718079e-18",1.01357803814204e-16,"HEATR3","55027",4416,"HEATR3","55027",2007.3125,"HEATR3","55027",1992.5,"HEATR3"
"ENSG00000176624",-1.64891525717574,"1.30350884569404e-18",1.21513655244564e-16,"MEX3C","51320",4142,"MEX3C","51320",2485,"MEX3C","51320",2485,"MEX3C"
"ENSG00000258653",2.3454702353898,"1.66417584877819e-18",1.54305588459706e-16,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000135336",1.02742290490752,"1.67370062369654e-18",1.54363271884437e-16,"ORC3","23595",2501,"ORC3","23595",1589.28571428571,"ORC3","23595",2035,"ORC3"
"ENSG00000139211",-1.49963838076987,"2.13550049245002e-18",1.95912397029581e-16,"AMIGO2","347902",3763,"AMIGO2","347902",3348.33333333333,"AMIGO2","347902",3224,"AMIGO2"
"ENSG00000139974",1.33119704739259,"2.80975545697528e-18",2.55069894599447e-16,"SLC38A6","145389",2787,"SLC38A6","145389",1091.42857142857,"SLC38A6","145389",722,"SLC38A6"
"ENSG00000177494",1.51177435306219,"2.88231298225212e-18",2.60293879162862e-16,"ZBED2","79413",2214,"ZBED2","79413",2214,"ZBED2","79413",2214,"ZBED2"
"ENSG00000159388",1.13747495788822,"2.94878178342495e-18",2.64916721983446e-16,"BTG2","7832",2729,"BTG2","7832",2002,"BTG2","7832",2002,"BTG2"
"ENSG00000107036",1.14585086646346,"2.98328436437301e-18",2.66634884504452e-16,"RIC1","57589",6786,"RIC1","57589",4100.71428571429,"RIC1","57589",3998,"RIC1"
"ENSG00000065615",-1.42630531794715,"3.94009471940855e-18",3.5034514020423e-16,"CYB5R4","51167",9205,"CYB5R4","51167",4986.5,"CYB5R4","51167",4986.5,"CYB5R4"
"ENSG00000158201",-1.41842929500619,"4.88163399386531e-18",4.31850264385871e-16,"ABHD3","171586",2080,"ABHD3","171586",1199.7,"ABHD3","171586",1094,"ABHD3"
"ENSG00000176853",-1.27340099295124,"4.94395372300538e-18",4.35143216259849e-16,"FAM91A1","157769",5529,"FAM91A1","157769",2057.75,"FAM91A1","157769",971.5,"FAM91A1"
"ENSG00000145860",1.02475671773461,"5.12426416836495e-18",4.48735436440807e-16,"RNF145","153830",3615,"RNF145","153830",2054,"RNF145","153830",2340,"RNF145"
"ENSG00000121892",-1.22477832911997,"5.93573756586091e-18",5.12038575395335e-16,"PDS5A","23244",7131,"PDS5A","23244",1788.3,"PDS5A","23244",610.5,"PDS5A"
"ENSG00000075790",-1.21193257321284,"7.04705491486492e-18",6.04895471132885e-16,"BCAP29","55973",2911,"BCAP29","55973",967,"BCAP29","55973",848.5,"BCAP29"
"ENSG00000100354",1.03290159886997,"7.09076677978174e-18",6.05649286673082e-16,"TNRC6B","23112",18280,"TNRC6B","23112",6934.77777777778,"TNRC6B","23112",3444,"TNRC6B"
"ENSG00000172478",1.15023802655216,"8.2328444231357e-18",6.92957715790048e-16,"MAB21L4","79919",2525,"MAB21L4","79919",1484,"MAB21L4","79919",1958,"MAB21L4"
"ENSG00000128271",1.4164648482987,"9.73897508108447e-18",8.15768545560018e-16,"ADORA2A","135",2736,"ADORA2A","135",1222.06666666667,"ADORA2A","135",691,"ADORA2A"
"ENSG00000184384",-1.4006555532652,"1.21100302813862e-17",1.0046689715261e-15,"MAML2","84441",7121,"MAML2","84441",7121,"MAML2","84441",7121,"MAML2"
"ENSG00000011260",-1.36507692840534,"1.23124428774614e-17",1.01659736691573e-15,"UTP18","51096",1876,"UTP18","51096",805.285714285714,"UTP18","51096",592,"UTP18"
"ENSG00000152422",1.28367716420809,"1.27870402339511e-17",1.05077957638142e-15,"XRCC4","7518",1696,"XRCC4","7518",1553.83333333333,"XRCC4","7518",1590.5,"XRCC4"
"ENSG00000068078",-1.68034390603156,"1.35739509958626e-17",1.11018271847765e-15,"FGFR3","2261",4307,"FGFR3","2261",2419.5,"FGFR3","2261",2512.5,"FGFR3"
"ENSG00000144674",-1.35295252835467,"1.67157431860823e-17",1.35436575282e-15,"GOLGA4","2803",7908,"GOLGA4","2803",4762.625,"GOLGA4","2803",5890.5,"GOLGA4"
"ENSG00000133116",-1.82941156674421,"1.74685306778543e-17",1.40225395103387e-15,"KL","9365",5014,"KL","9365",4114,"KL","9365",4114,"KL"
"ENSG00000057294",-1.30889148571446,"2.00215181959132e-17",1.59978388939603e-15,"PKP2","5318",4361,"PKP2","5318",2460.52941176471,"PKP2","5318",2433,"PKP2"
"ENSG00000165097",-1.44049633779627,"2.0485962852024e-17",1.6293858251892e-15,"KDM1B","221656",4538,"KDM1B","221656",3033.8,"KDM1B","221656",3447,"KDM1B"
"ENSG00000182718",-1.27023465731833,"2.68233978792944e-17",2.11404952649585e-15,"ANXA2","302",3528,"ANXA2","302",1296.15217391304,"ANXA2","302",1444,"ANXA2"
"ENSG00000053747",-1.29199843546242,"4.10379592205728e-17",3.21971572364485e-15,"LAMA3","3909",10651,"LAMA3","3909",3570.33333333333,"LAMA3","3909",1815,"LAMA3"
"ENSG00000108821",1.25807998661348,"4.22198318574615e-17",3.28273392186783e-15,"COL1A1","1277",5914,"COL1A1","1277",1088.84615384615,"COL1A1","1277",614,"COL1A1"
"ENSG00000117461",-1.84995593120024,"4.99093435474109e-17",3.86329512396677e-15,"PIK3R3","8503",5596,"PIK3R3","8503",3186.85714285714,"PIK3R3","8503",3117,"PIK3R3"
"ENSG00000163931",-1.12832526796582,"6.20013865933569e-17",4.77796463174318e-15,"TKT","7086",7286,"TKT","7086",2035.76923076923,"TKT","7086",1941,"TKT"
"ENSG00000274750",1.87054423623798,"6.2530507299666e-17",4.79741799145535e-15,"H3C6","8353",2679,"H3C6","8353",1580.5,"H3C6","8353",1580.5,"H3C6"
"ENSG00000059145",1.40784401626225,"6.75230115695128e-17",5.15762774274794e-15,"UNKL","64718",5250,"UNKL","64718",1561.33333333333,"UNKL","64718",819.5,"UNKL"
"ENSG00000132356",-1.17436942008373,"6.84496005958639e-17",5.20547203829686e-15,"PRKAA1","5562",5254,"PRKAA1","5562",1392,"PRKAA1","5562",919,"PRKAA1"
"ENSG00000068615",-1.63933504309516,"9.59355091369962e-17",7.23228605620164e-15,"REEP1","65055",4017,"REEP1","65055",2074.40909090909,"REEP1","65055",2357,"REEP1"
"ENSG00000049449",-1.17415867464812,"9.9325113541277e-17",7.45540321944676e-15,"RCN1","5954",2653,"RCN1","5954",1387.625,"RCN1","5954",964,"RCN1"
"ENSG00000197603",-1.20521407262705,"1.04538665369508e-16",7.77938162593087e-15,"CPLANE1","65250",11302,"CPLANE1","65250",3523.25,"CPLANE1","65250",2955,"CPLANE1"
"ENSG00000145824",1.22623971154151,"1.07713205863281e-16",7.98136442933088e-15,"CXCL14","9547",1971,"CXCL14","9547",1829,"CXCL14","9547",1829,"CXCL14"
"ENSG00000204576",1.20928865755169,"1.08255529424736e-16",7.98741542423619e-15,"PRR3","80742",3429,"PRR3","80742",1960.2619047619,"PRR3","80742",1944,"PRR3"
"ENSG00000148672",-1.26174782967614,"1.20600052216759e-16",8.8605267177389e-15,"GLUD1","2746",6257,"GLUD1","2746",2815.2962962963,"GLUD1","2746",2719,"GLUD1"
"ENSG00000126821",-1.37457421918272,"1.21152328619249e-16",8.86354525708506e-15,"SGPP1","81537",3336,"SGPP1","81537",3336,"SGPP1","81537",3336,"SGPP1"
"ENSG00000119596",-1.20689137454148,"1.23969924283296e-16",9.03157360146249e-15,"YLPM1","56252",8195,"YLPM1","56252",3578.25,"YLPM1","56252",3370,"YLPM1"
"ENSG00000164073",-1.49949029877297,"1.49956055199994e-16",1.08337001713029e-14,"MFSD8","256471",5109,"MFSD8","256471",2363.31147540984,"MFSD8","256471",1813,"MFSD8"
"ENSG00000048991",-1.67421470893249,"1.60719719562744e-16",1.15631502800764e-14,"R3HDM1","23518",4781,"R3HDM1","23518",1800.15,"R3HDM1","23518",650,"R3HDM1"
"ENSG00000141232",-1.5433596449165,"1.64297359929126e-16",1.17717021645088e-14,"TOB1","10140",2238,"TOB1","10140",1531.33333333333,"TOB1","10140",1467,"TOB1"
"ENSG00000171492",-1.0949423428204,"1.70649649699427e-16",1.21765196548904e-14,"LRRC8D","55144",3950,"LRRC8D","55144",1453.375,"LRRC8D","55144",785.5,"LRRC8D"
"ENSG00000172986",1.56638977366191,"1.73157656485971e-16",1.23048385484027e-14,"GXYLT2","727936",3276,"GXYLT2","727936",1508,"GXYLT2","727936",754,"GXYLT2"
"ENSG00000171451",-1.72422054812799,"2.05656470536842e-16",1.44954371651964e-14,"DSEL","92126",9531,"DSEL","92126",9398.5,"DSEL","92126",9398.5,"DSEL"
"ENSG00000144959",-1.14370662969392,"2.25082492857754e-16",1.5800426492553e-14,"NCEH1","57552",4536,"NCEH1","57552",2503.83333333333,"NCEH1","57552",2491.5,"NCEH1"
"ENSG00000120438",-1.2773814606396,"2.88351203680461e-16",2.01601674218367e-14,"TCP1","6950",2352,"TCP1","6950",951.444444444444,"TCP1","6950",707.5,"TCP1"
"ENSG00000167186",-1.38689643623503,"3.00764333512751e-16",2.09435854569381e-14,"COQ7","10229",2642,"COQ7","10229",1010.72727272727,"COQ7","10229",714,"COQ7"
"ENSG00000153310",-1.2353456126675,"3.12556306457691e-16",2.16776551906796e-14,"CYRIB","51571",4552,"CYRIB","51571",1487.96774193548,"CYRIB","51571",699,"CYRIB"
"ENSG00000164332",-1.49246427360151,"3.18969572051033e-16",2.20343163736767e-14,"UBLCP1","134510",2179,"UBLCP1","134510",1386,"UBLCP1","134510",1558,"UBLCP1"
"ENSG00000178996",-1.343264763411,"3.32070363183426e-16",2.28482858223708e-14,"SNX18","112574",5223,"SNX18","112574",3475.33333333333,"SNX18","112574",3140,"SNX18"
"ENSG00000173715",-2.05666003550119,"3.50326965185437e-16",2.40091669934794e-14,"C11orf80",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000148344",-1.27538112699258,"4.20409125380866e-16",2.84745071288236e-14,"PTGES","9536",1868,"PTGES","9536",1809.5,"PTGES","9536",1809.5,"PTGES"
"ENSG00000073910",1.04300630712519,"5.63127466493512e-16",3.76991009325522e-14,"FRY","10129",13017,"FRY","10129",5841.22222222222,"FRY","10129",711,"FRY"
"ENSG00000253276",-1.20312419742101,"7.05957037356035e-16",4.68988087000624e-14,"CCDC71L","168455",6799,"CCDC71L","168455",6799,"CCDC71L","168455",6799,"CCDC71L"
"ENSG00000233822",1.97887586537981,"7.16187978129375e-16",4.73968830258979e-14,"H2BC15","8341",542,"H2BC15","8341",542,"H2BC15","8341",542,"H2BC15"
"ENSG00000101333",-2.2014062548907,"7.19309598565837e-16",4.74224681731295e-14,"PLCB4","5332",7825,"PLCB4","5332",4630.14754098361,"PLCB4","5332",5205,"PLCB4"
"ENSG00000117472",-2.05927640560055,"7.34082016497381e-16",4.82130609244246e-14,"TSPAN1","10103",1619,"TSPAN1","10103",905.444444444444,"TSPAN1","10103",872,"TSPAN1"
"ENSG00000111224",-1.48541838322175,"8.03126525705114e-16",5.25487201101923e-14,"PARP11","57097",4449,"PARP11","57097",2785.75,"PARP11","57097",3363.5,"PARP11"
"ENSG00000168453",-2.19547975964642,"1.03042996994981e-15",6.71677640938335e-14,"HR","55806",5638,"HR","55806",2517,"HR","55806",1379,"HR"
"ENSG00000179750",1.08282873939163,"1.03649674814121e-15",6.73101764644963e-14,"APOBEC3B","9582",1844,"APOBEC3B","9582",1518.75,"APOBEC3B","9582",1474.5,"APOBEC3B"
"ENSG00000137274",-1.61393776160526,"1.08430767047362e-15",7.01522787251569e-14,"BPHL","670",3723,"BPHL","670",1371.58333333333,"BPHL","670",1100,"BPHL"
"ENSG00000204175",-1.42700975547077,"1.09259137332654e-15",7.04254342829325e-14,"GPRIN2","9721",9279,"GPRIN2","9721",6666.33333333333,"GPRIN2","9721",9274,"GPRIN2"
"ENSG00000176046",2.16636587732005,"1.09843024852207e-15",7.05395632560158e-14,"NUPR1","26471",5291,"NUPR1","26471",1854.75,"NUPR1","26471",789,"NUPR1"
"ENSG00000079215",-1.21089711318526,"1.12794051875669e-15",7.21673824897498e-14,"SLC1A3","6507",6868,"SLC1A3","6507",2078.70689655172,"SLC1A3","6507",845,"SLC1A3"
"ENSG00000151806",-1.14835640428661,"1.17224332451175e-15",7.4726202219519e-14,"GUF1","60558",4460,"GUF1","60558",2981.75,"GUF1","60558",3124,"GUF1"
"ENSG00000145431",-1.33734028976777,"1.29675304849635e-15",8.23604436186018e-14,"PDGFC","56034",4570,"PDGFC","56034",1397.11111111111,"PDGFC","56034",786,"PDGFC"
"ENSG00000138756",-1.13335823223828,"1.44539671458232e-15",9.11335768514285e-14,"BMP2K","55589",8012,"BMP2K","55589",2714.33333333333,"BMP2K","55589",1955.5,"BMP2K"
"ENSG00000078098",-2.91972087012229,"1.45416073138805e-15",9.13539598606428e-14,"FAP","2191",2696,"FAP","2191",1248.58333333333,"FAP","2191",731,"FAP"
"ENSG00000113721",1.03454554032718,"1.64397109217957e-15",1.02905468474013e-13,"PDGFRB","5159",5700,"PDGFRB","5159",1473,"PDGFRB","5159",725,"PDGFRB"
"ENSG00000185238",-1.58372215550927,"1.67801602233878e-15",1.04658704357309e-13,"PRMT3","10196",4159,"PRMT3","10196",2031.66666666667,"PRMT3","10196",2133,"PRMT3"
"ENSG00000198924",-1.35054481222998,"2.69223652829743e-15",1.66123448982737e-13,"DCLRE1A","9937",4450,"DCLRE1A","9937",3132.66666666667,"DCLRE1A","9937",4241,"DCLRE1A"
"ENSG00000196935",-1.21122365823713,"2.93733693575788e-15",1.79966378548077e-13,"SRGAP1","57522",22920,"SRGAP1","57522",5429.25,"SRGAP1","57522",1946,"SRGAP1"
"ENSG00000105974",-1.30534438155616,"3.17129429655016e-15",1.93616450027758e-13,"CAV1","857",2652,"CAV1","857",1454.88888888889,"CAV1","857",1130,"CAV1"
"ENSG00000006576",-1.1455286184653,"3.50704081631738e-15",2.133634411022e-13,"PHTF2","57157",5198,"PHTF2","57157",2943.25,"PHTF2","57157",2491.5,"PHTF2"
"ENSG00000110435",-1.34328542515533,"3.75707551602452e-15",2.27775987315906e-13,"PDHX","8050",2659,"PDHX","8050",1116.875,"PDHX","8050",579,"PDHX"
"ENSG00000106605",-1.43801480592661,"4.74162025621303e-15",2.86463253039992e-13,"BLVRA","644",1161,"BLVRA","644",751.8,"BLVRA","644",757,"BLVRA"
"ENSG00000112208",-1.21118461810948,"5.88737446682444e-15",3.52004089242307e-13,"BAG2","9532",6651,"BAG2","9532",6651,"BAG2","9532",6651,"BAG2"
"ENSG00000023041",-1.35632942295948,"5.93823144454944e-15",3.53824725144477e-13,"ZDHHC6","64429",4324,"ZDHHC6","64429",2623.88461538462,"ZDHHC6","64429",2457.5,"ZDHHC6"
"ENSG00000114853",1.16503641719183,"6.09085742938645e-15",3.61675948520999e-13,"ZBTB47","92999",5498,"ZBTB47","92999",4482.66666666667,"ZBTB47","92999",5494,"ZBTB47"
"ENSG00000112851",-1.15848939369417,"6.27607523769126e-15",3.71402281728085e-13,"ERBIN","55914",8544,"ERBIN","55914",5316.23333333333,"ERBIN","55914",6207,"ERBIN"
"ENSG00000203485",-1.25279905777897,"6.5723487565273e-15",3.86747417809224e-13,"INF2","64423",7732,"INF2","64423",2724.76595744681,"INF2","64423",3006,"INF2"
"ENSG00000142089",-1.35054865804788,"6.57999240173719e-15",3.86747417809224e-13,"IFITM3","10410",1044,"IFITM3","10410",598.083333333333,"IFITM3","10410",589,"IFITM3"
"ENSG00000118816",-1.14126519637921,"7.06113749669316e-15",4.12232535539268e-13,"CCNI","10983",2759,"CCNI","10983",829.888888888889,"CCNI","10983",576,"CCNI"
"ENSG00000071859",-1.36387122947388,"9.33133677864771e-15",5.3752840001652e-13,"FAM50A","9130",1470,"FAM50A","9130",876,"FAM50A","9130",763,"FAM50A"
"ENSG00000135378",-1.55608288243933,"9.58514806213029e-15",5.48504561878803e-13,"PRRG4","79056",5543,"PRRG4","79056",5543,"PRRG4","79056",5543,"PRRG4"
"ENSG00000169891",-1.4476159810786,"1.35560394989339e-14",7.70649734006603e-13,"REPS2","9185",7978,"REPS2","9185",4076.4,"REPS2","9185",3484,"REPS2"
"ENSG00000185753",1.19925335363937,"1.41076841068866e-14",7.99389329180739e-13,"CXorf38","159013",4895,"CXorf38","159013",3839.66666666667,"CXorf38","159013",4244,"CXorf38"
"ENSG00000115425",-2.05265284071983,"1.49249585476928e-14",8.40207325514432e-13,"PECR","55825",1867,"PECR","55825",883.125,"PECR","55825",777,"PECR"
"ENSG00000182871",-1.21492053724583,"2.14297748366359e-14",1.19331237904142e-12,"COL18A1","80781",6586,"COL18A1","80781",4058.55555555556,"COL18A1","80781",5399,"COL18A1"
"ENSG00000140694",-1.2092213537735,"2.14726029333251e-14",1.19331237904142e-12,"PARN","5073",4352,"PARN","5073",1785.96296296296,"PARN","5073",1779,"PARN"
"ENSG00000100580",-1.31492407751593,"2.16201901538862e-14",1.19767564561736e-12,"TMED8","283578",7761,"TMED8","283578",7761,"TMED8","283578",7761,"TMED8"
"ENSG00000137331",-1.43617318385762,"2.22652455850813e-14",1.22948118853416e-12,"IER3","8870",1244,"IER3","8870",1242.83333333333,"IER3","8870",1244,"IER3"
"ENSG00000162885",-1.10209271868023,"2.38053656802277e-14",1.31035312866498e-12,"B3GALNT2","148789",4719,"B3GALNT2","148789",2173.94117647059,"B3GALNT2","148789",1874,"B3GALNT2"
"ENSG00000128422",1.13355576383763,"2.39226110293677e-14",1.31263972353863e-12,"KRT17","3872",1834,"KRT17","3872",900.125,"KRT17","3872",689.5,"KRT17"
"ENSG00000164684",-1.463133902929,"2.47868292825281e-14",1.35576918905286e-12,"ZNF704","619279",15071,"ZNF704","619279",5208.83333333333,"ZNF704","619279",566.5,"ZNF704"
"ENSG00000197956",-1.39563661358172,"2.84138607497427e-14",1.54441357849464e-12,"S100A6","6277",673,"S100A6","6277",514,"S100A6","6277",479,"S100A6"
"ENSG00000196975",-1.14423587747436,"3.32681721162231e-14",1.80261511350997e-12,"ANXA4","307",4418,"ANXA4","307",1477.91666666667,"ANXA4","307",740.5,"ANXA4"
"ENSG00000183671",1.11208381347631,"3.38360138293439e-14",1.82767178749842e-12,"CMKLR2","2825",2565,"CMKLR2","2825",1204.33333333333,"CMKLR2","2825",793,"CMKLR2"
"ENSG00000169067",1.19875744898775,"3.41343841317504e-14",1.83806238031186e-12,"ACTBL2","345651",2794,"ACTBL2","345651",2794,"ACTBL2","345651",2794,"ACTBL2"
"ENSG00000269825",-1.40103374805965,"3.61065449920226e-14",1.93823957776062e-12,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000237651",1.2631593621962,"3.85322278480409e-14",2.06206882301599e-12,"C2orf74","339804",1383,"C2orf74","339804",877.571428571429,"C2orf74","339804",879,"C2orf74"
"ENSG00000148154",-1.20276797227739,"4.00311938090707e-14",2.13569498293993e-12,"UGCG","7357",3959,"UGCG","7357",1261.2,"UGCG","7357",581,"UGCG"
"ENSG00000157654",-1.20282724766876,"5.60093708693022e-14",2.93397728550704e-12,"PALM2AKAP2","445815",9578,"PALM2AKAP2","445815",2945.88235294118,"PALM2AKAP2","445815",1418,"PALM2AKAP2"
"ENSG00000115841",1.03619901549107,"6.85452073167356e-14",3.55839925049365e-12,"RMDN2","151393",2280,"RMDN2","151393",1409,"RMDN2","151393",1659.5,"RMDN2"
"ENSG00000047597",-1.48937467771549,"8.38391164907214e-14",4.2881605924266e-12,"XK","7504",5174,"XK","7504",5174,"XK","7504",5174,"XK"
"ENSG00000188064",-1.09114487492954,"8.41215271965614e-14",4.28995047076817e-12,"WNT7B","7477",3948,"WNT7B","7477",1934,"WNT7B","7477",2202,"WNT7B"
"ENSG00000197299",-1.20036901222965,"8.93851606304609e-14",4.54501261047378e-12,"BLM","641",5240,"BLM","641",2862.61538461538,"BLM","641",2967,"BLM"
"ENSG00000145391",-1.08842871611852,"9.78805697907897e-14",4.94796268105686e-12,"SETD7","80854",6808,"SETD7","80854",2055,"SETD7","80854",1358.5,"SETD7"
"ENSG00000145113",-1.95691377678837,"1.02819222195945e-13",5.18250724899853e-12,"MUC4","4585",23128,"MUC4","4585",10131.8012820513,"MUC4","4585",15414,"MUC4"
"ENSG00000139278",1.35106972102972,"1.15856354418356e-13",5.80587667416148e-12,"GLIPR1","11010",5812,"GLIPR1","11010",2106.75,"GLIPR1","11010",974,"GLIPR1"
"ENSG00000113494",-1.39940005649447,"1.2264917407876e-13",6.12857068977413e-12,"PRLR","5618",11581,"PRLR","5618",2217.5,"PRLR","5618",1389,"PRLR"
"ENSG00000146674",-1.50821312456535,"1.36186354085e-13",6.75085928750234e-12,"IGFBP3","3486",2631,"IGFBP3","3486",1295.66666666667,"IGFBP3","3486",810,"IGFBP3"
"ENSG00000188191",-1.40698608376,"1.36270877826046e-13",6.75085928750234e-12,"PRKAR1B","5575",2553,"PRKAR1B","5575",1310.76923076923,"PRKAR1B","5575",888,"PRKAR1B"
"ENSG00000137501",-1.5926163832214,"1.68220360774614e-13",8.28628646440634e-12,"SYTL2","54843",8263,"SYTL2","54843",2320.03448275862,"SYTL2","54843",1751,"SYTL2"
"ENSG00000158373",1.07787307255891,"1.70467023772919e-13",8.3731663603361e-12,"H2BC5","3017",789,"H2BC5","3017",637.5,"H2BC5","3017",637.5,"H2BC5"
"ENSG00000085224",-1.1827413673398,"1.73031094492504e-13",8.47510211131507e-12,"ATRX","546",11165,"ATRX","546",2731.88,"ATRX","546",725,"ATRX"
"ENSG00000138709",-1.57080421692629,"1.87635955989104e-13",9.0877649187013e-12,"LARP1B","55132",4847,"LARP1B","55132",2609.06666666667,"LARP1B","55132",2396,"LARP1B"
"ENSG00000168374",-1.08989088001079,"1.95909295537707e-13",9.46203697863038e-12,"ARF4","378",1601,"ARF4","378",1014,"ARF4","378",1000.5,"ARF4"
"ENSG00000160703",1.06038632475759,"1.98662431791812e-13",9.54185015190647e-12,"NLRX1","79671",4131,"NLRX1","79671",2323.1875,"NLRX1","79671",2717.5,"NLRX1"
